#id,apk_url,apk_md5,tips,type
71,https://183-232-114-168.pd1.cjjd19.com:30443/download-cdn.cjjd19.com/123-477/649e5769/1818000102-0/649e576974faf716466fabec1f9811dd/c-m64?v=5&t=1736579185&s=17365791856f246e0b5bd5cd48ebf77884eb49f6e2&r=OMFHUZ&bzc=1&bzs=1817032251&filename=7.1.7.apk&x-mf-biz-cid=e14af282-eaaf-415d-93bf-4645c9e63b9f-6eaa77&auto_redirect=0&cache_type=1&xmfcid=b478a79d-ebc0-4ec8-a928-858bea9979a2-0-abf611255,649e576974faf716466fabec1f9811dd,恢复出厂7.1.7,0
75,https://dzsms.gwm.com.cn/haval/automap/Auto_V7.5.0.600082_release_signed.apk,1bbf3a1e86a2676f1d26962a411ee0bd,高德地图v7.5.0.600082巡航红绿灯HUD语音,0
81,https://dzsms.gwm.com.cn/haval/automap/Auto_8.1.0.600185_release_signed.apk,671ac76c3bc04eae35219aca1bd11597,高德地图v8.1.0.600185官方导航红绿灯HUD语音,0
